#ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
MIKKEVE01,1950,Vern,Mikkelsen,west,N,1,0,11,NULL,NULL,9,1,NULL,NULL,NULL,NULL,11,4,4,3,NULL,NULL
MIKKEVE01,1956,Vern,Mikkelsen,west,N,1,21,6,NULL,NULL,9,1,NULL,NULL,NULL,NULL,10,3,4,0,NULL,NULL
MIKKEVE01,1955,Vern,Mikkelsen,west,N,1,22,16,NULL,NULL,9,2,NULL,NULL,NULL,NULL,13,5,7,6,NULL,NULL
MIKKEVE01,1954,Vern,Mikkelsen,west,N,1,25,16,NULL,NULL,9,1,NULL,NULL,NULL,NULL,15,7,3,2,NULL,NULL
MIKKEVE01,1952,Vern,Mikkelsen,west,N,1,19,6,NULL,NULL,6,3,NULL,NULL,NULL,NULL,13,3,0,0,NULL,NULL
MIKKEVE01,1951,Vern,Mikkelsen,west,N,1,23,12,NULL,NULL,10,0,NULL,NULL,NULL,NULL,8,5,2,2,NULL,NULL
MILESED01,1965,Eddie,Miles,west,N,1,28,17,NULL,NULL,1,0,NULL,NULL,NULL,NULL,16,8,5,1,NULL,NULL
MILLEBR01,2002,Brad,Miller,east,N,1,17,5,3,3,6,3,0,0,2,2,4,2,2,1,0,0
MILLEBR01,2003,Brad,Miller,west,N,1,10,8,2,1,3,0,0,0,2,0,5,4,0,0,0,0
MILLERE01,1999,Reggie,Miller,east,N,1,21,5,2,0,2,3,1,0,1,1,7,1,2,2,6,1
MILLERE01,1997,Reggie,Miller,east,N,1,20,14,0,0,0,0,1,0,0,2,8,6,2,1,2,1
MILLERE01,1995,Reggie,Miller,east,N,1,18,8,NULL,NULL,2,2,NULL,NULL,NULL,NULL,8,4,0,0,NULL,NULL
MILLERE01,1994,Reggie,Miller,east,N,1,23,9,NULL,NULL,0,2,NULL,NULL,NULL,NULL,9,3,0,0,NULL,NULL
MILLERE01,1989,Reggie,Miller,east,N,1,14,4,NULL,NULL,1,3,NULL,NULL,NULL,NULL,3,2,0,0,NULL,NULL
MINGYA01,2003,Yao,Ming,west,N,1,18,16,2,2,4,1,0,0,0,2,14,8,0,0,2,0
MINGYA01,2002,Yao,Ming,west,N,1,17,2,2,0,2,0,0,0,0,1,1,1,0,0,0,0
MINGYA01,2008,Yao,Ming,West,N,1,12,2,3,0,3,0,0,1,1,2,4,1,0,0,0,0
MINGYA01,2004,Yao,Ming,west,N,1,21,11,5,3,8,5,0,1,1,1,9,5,2,1,0,0
MINGYA01,2005,Yao,Ming,west,N,1,19,5,2,0,2,1,1,0,0,2,5,2,2,1,0,0
MINGYA01,2007,Yao,Ming,West,N,1,13,6,1,4,5,1,0,0,1,0,5,2,2,2,2,0
MITCHMI01,1980,Mike,Mitchell,east,N,1,15,14,NULL,NULL,4,2,NULL,NULL,NULL,NULL,12,6,2,2,NULL,NULL
MIXST01,1974,Steve,Mix,east,N,1,11,4,NULL,NULL,2,0,NULL,NULL,NULL,NULL,5,2,0,0,NULL,NULL
MOEDO01,1967,Douglas,Moe,west,A,1,29,17,5,2,7,5,NULL,NULL,2,4,13,7,5,3,1,0
MOEDO01,1968,Douglas,Moe,west,A,1,26,17,2,4,6,6,NULL,NULL,1,3,13,6,8,5,0,0
MOEDO01,1969,Douglas,Moe,east,A,1,26,2,NULL,NULL,8,6,NULL,NULL,NULL,1,5,0,3,2,0,0
MONCRSI01,1984,Sidney,Moncrief,east,N,1,22,8,NULL,NULL,5,4,NULL,NULL,NULL,NULL,5,1,6,6,NULL,NULL
MONCRSI01,1983,Sidney,Moncrief,east,N,1,26,8,NULL,NULL,5,2,NULL,NULL,NULL,NULL,6,3,2,2,NULL,NULL
MONCRSI01,1982,Sidney,Moncrief,east,N,1,28,20,NULL,NULL,5,4,NULL,NULL,NULL,NULL,14,8,5,4,NULL,NULL
MONCRSI01,1985,Sidney,Moncrief,east,N,1,26,16,NULL,NULL,3,1,NULL,NULL,NULL,NULL,11,4,7,7,NULL,NULL
MONCRSI01,1981,Sidney,Moncrief,East,N,1,22,6,1,3,4,1,1,0,1,2,11,3,2,0,0,0
MONROEA01,1970,Earl,Monroe,east,N,1,18,6,NULL,NULL,5,2,NULL,NULL,NULL,NULL,9,3,0,0,NULL,NULL
MONROEA01,1968,Earl,Monroe,east,N,1,27,21,NULL,NULL,4,4,NULL,NULL,NULL,NULL,15,6,12,9,NULL,NULL
MONROEA01,1976,Earl,Monroe,east,N,1,15,4,NULL,NULL,0,3,NULL,NULL,NULL,NULL,7,2,0,0,NULL,NULL
MONROEA01,1974,Earl,Monroe,east,N,1,25,9,NULL,NULL,3,2,NULL,NULL,NULL,NULL,8,3,5,3,NULL,NULL
MOOREGE01,1969,Gene,Moore,east,A,1,12,4,NULL,NULL,4,0,NULL,NULL,NULL,1,6,2,0,0,1,0
MOURNAL01,1994,Alonzo,Mourning,east,N,1,19,10,NULL,NULL,8,1,NULL,NULL,NULL,NULL,9,4,3,2,NULL,NULL
MOURNAL01,1993,Alonzo,Mourning,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MOURNAL01,2001,Alonzo,Mourning,east,N,1,16,13,2,1,3,2,0,2,1,1,7,6,1,1,0,0
MOURNAL01,2000,Alonzo,Mourning,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MOURNAL01,1999,Alonzo,Mourning,east,N,1,27,15,5,2,7,1,3,4,1,4,11,7,2,1,0,0
MOURNAL01,1996,Alonzo,Mourning,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MOURNAL01,1995,Alonzo,Mourning,east,N,1,13,2,NULL,NULL,1,0,NULL,NULL,NULL,NULL,6,1,0,0,NULL,NULL
MULLICH01,1991,Chris,Mullin,west,N,1,24,13,NULL,NULL,1,3,NULL,NULL,NULL,NULL,7,6,0,0,NULL,NULL
MULLICH01,1990,Chris,Mullin,west,N,1,24,13,NULL,NULL,2,2,NULL,NULL,NULL,NULL,8,4,4,4,NULL,NULL
